Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2012-03-26,Alcaldia object (101),0.00,8.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-03-27,Alcaldia object (101),0.00,8.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-03-28,Alcaldia object (101),1.00,11.00,26.00,0,2020-07-12 08:36:42+00:00,
2012-03-29,Alcaldia object (101),1.70,11.50,23.50,0,2020-07-12 08:36:42+00:00,
2012-03-30,Alcaldia object (101),0.00,9.00,24.50,0,2020-07-12 08:36:42+00:00,
2012-03-31,Alcaldia object (101),0.00,9.00,25.50,0,2020-07-12 08:36:42+00:00,
2012-04-01,Alcaldia object (101),0.00,11.00,25.50,0,2020-07-12 08:36:42+00:00,
2012-04-02,Alcaldia object (101),0.00,12.00,25.00,0,2020-07-12 08:36:42+00:00,
2012-04-03,Alcaldia object (101),0.00,9.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-04-04,Alcaldia object (101),0.00,9.00,28.50,0,2020-07-12 08:36:42+00:00,
2012-04-05,Alcaldia object (101),0.00,9.00,28.00,0,2020-07-12 08:36:42+00:00,
2012-04-06,Alcaldia object (101),0.00,11.00,24.50,0,2020-07-12 08:36:42+00:00,
2012-04-07,Alcaldia object (101),0.00,8.50,27.00,0,2020-07-12 08:36:42+00:00,
2012-04-08,Alcaldia object (101),0.00,8.50,26.50,0,2020-07-12 08:36:42+00:00,
2012-04-09,Alcaldia object (101),0.00,10.50,26.00,0,2020-07-12 08:36:42+00:00,
2012-04-10,Alcaldia object (101),1.50,10.00,26.50,0,2020-07-12 08:36:42+00:00,
2012-04-11,Alcaldia object (101),24.00,10.00,26.00,1,2020-07-12 08:36:42+00:00,
2012-04-12,Alcaldia object (101),0.00,13.00,27.50,0,2020-07-12 08:36:42+00:00,
2012-04-13,Alcaldia object (101),0.00,12.00,27.50,0,2020-07-12 08:36:42+00:00,
2012-04-14,Alcaldia object (101),0.00,9.50,27.00,0,2020-07-12 08:36:42+00:00,
2012-04-15,Alcaldia object (101),0.00,10.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-04-16,Alcaldia object (101),0.00,10.00,28.00,0,2020-07-12 08:36:42+00:00,
2012-04-17,Alcaldia object (101),6.00,10.50,25.50,0,2020-07-12 08:36:42+00:00,
2012-04-18,Alcaldia object (101),0.70,9.50,25.50,0,2020-07-12 08:36:42+00:00,
2012-04-19,Alcaldia object (101),0.50,10.00,25.50,0,2020-07-12 08:36:42+00:00,
2012-04-20,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:36:42+00:00,
2012-04-21,Alcaldia object (101),0.00,9.00,26.00,0,2020-07-12 08:36:42+00:00,
2012-04-22,Alcaldia object (101),0.00,9.50,26.00,0,2020-07-12 08:36:42+00:00,
2012-04-23,Alcaldia object (101),0.00,6.50,25.50,0,2020-07-12 08:36:42+00:00,
2012-04-24,Alcaldia object (101),0.00,6.00,26.50,0,2020-07-12 08:36:42+00:00,
2012-04-25,Alcaldia object (101),0.00,6.00,27.50,0,2020-07-12 08:36:42+00:00,
2012-04-26,Alcaldia object (101),0.00,5.50,28.50,0,2020-07-12 08:36:42+00:00,
2012-04-27,Alcaldia object (101),0.00,6.00,30.00,0,2020-07-12 08:36:42+00:00,
2012-04-28,Alcaldia object (101),0.00,8.50,30.50,0,2020-07-12 08:36:42+00:00,
2012-04-29,Alcaldia object (101),0.00,10.50,30.50,0,2020-07-12 08:36:42+00:00,
2012-04-30,Alcaldia object (101),0.00,13.00,30.50,0,2020-07-12 08:36:42+00:00,
2012-05-01,Alcaldia object (101),0.00,12.50,30.50,0,2020-07-12 08:36:42+00:00,
