Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2018-04-28,Alcaldia object (101),9.40,12.50,27.00,0,2020-07-12 08:37:05+00:00,
2018-04-29,Alcaldia object (101),1.00,10.50,26.50,0,2020-07-12 08:37:05+00:00,
2018-04-30,Alcaldia object (101),0.00,11.50,25.50,0,2020-07-12 08:37:05+00:00,
2018-05-01,Alcaldia object (101),1.30,11.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-05-02,Alcaldia object (101),0.00,13.00,24.50,0,2020-07-12 08:37:05+00:00,
2018-05-03,Alcaldia object (101),10.20,13.50,29.00,0,2020-07-12 08:37:05+00:00,
2018-05-04,Alcaldia object (101),4.40,13.00,28.00,0,2020-07-12 08:37:05+00:00,
2018-05-05,Alcaldia object (101),0.00,14.50,24.00,0,2020-07-12 08:37:05+00:00,
2018-05-06,Alcaldia object (101),0.50,13.50,25.00,0,2020-07-12 08:37:05+00:00,
2018-05-07,Alcaldia object (101),0.00,15.00,23.50,0,2020-07-12 08:37:06+00:00,
2018-05-08,Alcaldia object (101),1.80,13.00,18.50,0,2020-07-12 08:37:06+00:00,
2018-05-09,Alcaldia object (101),0.00,11.50,25.50,0,2020-07-12 08:37:06+00:00,
2018-05-10,Alcaldia object (101),2.00,12.00,28.00,0,2020-07-12 08:37:06+00:00,
2018-05-11,Alcaldia object (101),0.00,12.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-05-12,Alcaldia object (101),0.01,13.00,29.00,0,2020-07-12 08:37:06+00:00,
2018-05-13,Alcaldia object (101),0.00,14.00,29.00,0,2020-07-12 08:37:06+00:00,
2018-05-14,Alcaldia object (101),0.00,13.00,29.50,0,2020-07-12 08:37:06+00:00,
2018-05-15,Alcaldia object (101),0.00,13.00,30.50,0,2020-07-12 08:37:06+00:00,
2018-05-16,Alcaldia object (101),0.00,13.00,31.00,0,2020-07-12 08:37:06+00:00,
2018-05-17,Alcaldia object (101),0.00,13.00,30.00,0,2020-07-12 08:37:06+00:00,
2018-05-18,Alcaldia object (101),0.00,13.00,31.00,0,2020-07-12 08:37:06+00:00,
2018-05-19,Alcaldia object (101),7.40,14.00,31.50,0,2020-07-12 08:37:06+00:00,
2018-05-20,Alcaldia object (101),4.50,13.50,30.00,0,2020-07-12 08:37:06+00:00,
2018-05-21,Alcaldia object (101),0.50,13.00,27.00,0,2020-07-12 08:37:06+00:00,
2018-05-22,Alcaldia object (101),6.60,13.00,28.50,0,2020-07-12 08:37:06+00:00,
2018-05-23,Alcaldia object (101),0.00,12.50,28.50,0,2020-07-12 08:37:06+00:00,
2018-05-24,Alcaldia object (101),0.00,12.50,30.00,0,2020-07-12 08:37:06+00:00,
2018-05-25,Alcaldia object (101),0.00,11.50,29.00,0,2020-07-12 08:37:06+00:00,
2018-05-26,Alcaldia object (101),0.00,11.00,28.50,0,2020-07-12 08:37:06+00:00,
2018-05-27,Alcaldia object (101),0.00,10.50,30.50,0,2020-07-12 08:37:06+00:00,
2018-05-28,Alcaldia object (101),0.00,13.00,32.00,0,2020-07-12 08:37:06+00:00,
2018-05-29,Alcaldia object (101),0.00,13.00,33.50,0,2020-07-12 08:37:06+00:00,
2018-05-30,Alcaldia object (101),0.00,12.50,34.00,0,2020-07-12 08:37:06+00:00,
2018-05-31,Alcaldia object (101),0.00,12.00,34.00,0,2020-07-12 08:37:06+00:00,
2018-06-01,Alcaldia object (101),0.00,14.50,31.50,0,2020-07-12 08:37:06+00:00,
2018-06-02,Alcaldia object (101),0.00,14.00,29.50,0,2020-07-12 08:37:06+00:00,
2018-06-03,Alcaldia object (101),0.00,13.00,29.00,0,2020-07-12 08:37:06+00:00,
2018-06-04,Alcaldia object (101),0.00,13.50,30.50,0,2020-07-12 08:37:06+00:00,
2018-06-05,Alcaldia object (101),0.00,15.50,30.00,0,2020-07-12 08:37:06+00:00,
2018-06-06,Alcaldia object (101),0.00,15.50,30.00,0,2020-07-12 08:37:06+00:00,
2018-06-07,Alcaldia object (101),0.00,15.00,30.00,0,2020-07-12 08:37:06+00:00,
2018-06-08,Alcaldia object (101),23.00,15.00,29.00,0,2020-07-12 08:37:06+00:00,
2018-06-09,Alcaldia object (101),3.10,14.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-06-10,Alcaldia object (101),0.00,13.00,27.50,0,2020-07-12 08:37:06+00:00,
2018-06-11,Alcaldia object (101),3.10,15.00,29.00,0,2020-07-12 08:37:06+00:00,
2018-06-12,Alcaldia object (101),22.00,14.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-06-13,Alcaldia object (101),18.00,14.00,23.00,0,2020-07-12 08:37:06+00:00,
2018-06-14,Alcaldia object (101),35.00,15.00,23.00,0,2020-07-12 08:37:06+00:00,
2018-06-15,Alcaldia object (101),1.30,14.00,23.00,0,2020-07-12 08:37:06+00:00,
2018-06-16,Alcaldia object (101),0.00,15.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-06-17,Alcaldia object (101),0.01,15.00,26.50,0,2020-07-12 08:37:06+00:00,
2018-06-18,Alcaldia object (101),17.70,13.00,23.00,0,2020-07-12 08:37:06+00:00,
2018-06-19,Alcaldia object (101),0.00,13.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-06-20,Alcaldia object (101),0.01,15.00,23.00,0,2020-07-12 08:37:06+00:00,
2018-06-21,Alcaldia object (101),1.30,19.00,23.00,0,2020-07-12 08:37:06+00:00,
2018-06-22,Alcaldia object (101),0.00,14.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-06-23,Alcaldia object (101),0.01,12.00,25.50,0,2020-07-12 08:37:06+00:00,
2018-06-24,Alcaldia object (101),8.50,14.00,26.50,0,2020-07-12 08:37:06+00:00,
2018-06-25,Alcaldia object (101),3.20,14.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-06-26,Alcaldia object (101),6.10,15.00,26.50,0,2020-07-12 08:37:06+00:00,
2018-06-27,Alcaldia object (101),1.00,15.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-06-28,Alcaldia object (101),1.30,14.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-06-29,Alcaldia object (101),0.00,11.00,23.50,0,2020-07-12 08:37:06+00:00,
2018-06-30,Alcaldia object (101),5.30,13.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-07-01,Alcaldia object (101),0.01,14.00,26.50,0,2020-07-12 08:37:06+00:00,
2018-07-02,Alcaldia object (101),1.90,11.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-07-03,Alcaldia object (101),0.00,14.00,23.00,0,2020-07-12 08:37:06+00:00,
2018-07-04,Alcaldia object (101),0.00,13.50,21.50,0,2020-07-12 08:37:06+00:00,
2018-07-05,Alcaldia object (101),1.00,13.00,28.50,0,2020-07-12 08:37:06+00:00,
2018-07-06,Alcaldia object (101),0.00,13.00,23.50,0,2020-07-12 08:37:06+00:00,
2018-07-07,Alcaldia object (101),2.20,13.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-07-08,Alcaldia object (101),12.00,13.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-07-09,Alcaldia object (101),9.50,12.50,24.50,0,2020-07-12 08:37:06+00:00,
2018-07-10,Alcaldia object (101),16.90,12.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-07-11,Alcaldia object (101),14.40,10.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-07-12,Alcaldia object (101),0.00,12.50,25.00,0,2020-07-12 08:37:06+00:00,
2018-07-13,Alcaldia object (101),32.50,12.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-07-14,Alcaldia object (101),4.20,12.50,25.00,0,2020-07-12 08:37:06+00:00,
2018-07-15,Alcaldia object (101),0.00,13.00,24.00,0,2020-07-12 08:37:06+00:00,
2018-07-16,Alcaldia object (101),1.50,13.00,25.00,0,2020-07-12 08:37:06+00:00,
2018-07-17,Alcaldia object (101),0.00,13.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-07-18,Alcaldia object (101),0.00,13.50,24.00,0,2020-07-12 08:37:06+00:00,
2018-07-19,Alcaldia object (101),0.00,8.00,27.50,0,2020-07-12 08:37:06+00:00,
2018-07-20,Alcaldia object (101),2.50,12.50,27.00,0,2020-07-12 08:37:06+00:00,
2018-07-21,Alcaldia object (101),0.00,10.50,27.00,0,2020-07-12 08:37:06+00:00,
2018-07-22,Alcaldia object (101),0.00,13.00,26.00,0,2020-07-12 08:37:06+00:00,
2018-07-23,Alcaldia object (101),0.00,13.00,29.00,0,2020-07-12 08:37:06+00:00,
2018-07-24,Alcaldia object (101),0.00,14.00,30.00,0,2020-07-12 08:37:06+00:00,
2018-07-25,Alcaldia object (101),0.40,13.00,29.50,0,2020-07-12 08:37:06+00:00,
