Fecha,Colonia,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2017-04-04,Colonia object (1),0.00,8.50,31.00,0,2020-07-19 19:58:53+00:00,
2017-04-05,Colonia object (1),0.00,10.00,32.00,0,2020-07-19 19:58:53+00:00,
2017-04-06,Colonia object (1),0.50,10.50,28.00,0,2020-07-19 19:58:53+00:00,
2017-04-07,Colonia object (1),0.00,12.00,30.00,0,2020-07-19 19:58:53+00:00,
2017-04-08,Colonia object (1),0.00,11.50,29.00,0,2020-07-19 19:58:53+00:00,
2017-04-09,Colonia object (1),0.00,13.00,29.00,0,2020-07-19 19:58:53+00:00,
2017-04-10,Colonia object (1),0.50,12.50,29.00,0,2020-07-19 19:58:53+00:00,
2017-04-11,Colonia object (1),0.00,13.50,29.00,0,2020-07-19 19:58:53+00:00,
2017-04-12,Colonia object (1),0.00,11.00,27.50,0,2020-07-19 19:58:53+00:00,
2017-04-13,Colonia object (1),0.00,9.50,27.00,0,2020-07-19 19:58:53+00:00,
2017-04-14,Colonia object (1),0.00,10.00,27.00,0,2020-07-19 19:58:53+00:00,
2017-04-15,Colonia object (1),0.00,10.50,28.00,0,2020-07-19 19:58:53+00:00,
2017-04-16,Colonia object (1),2.40,12.00,27.50,0,2020-07-19 19:58:53+00:00,
2017-04-17,Colonia object (1),0.60,11.00,26.50,0,2020-07-19 19:58:53+00:00,
2017-04-18,Colonia object (1),6.00,11.00,23.50,1,2020-07-19 19:58:53+00:00,
2017-04-19,Colonia object (1),0.00,12.00,24.00,0,2020-07-19 19:58:53+00:00,
2017-04-20,Colonia object (1),0.00,8.00,26.00,0,2020-07-19 19:58:53+00:00,
2017-04-21,Colonia object (1),0.00,9.00,28.00,0,2020-07-19 19:58:53+00:00,
2017-04-22,Colonia object (1),0.00,11.00,29.50,0,2020-07-19 19:58:53+00:00,
2017-04-23,Colonia object (1),0.00,11.00,27.50,0,2020-07-19 19:58:53+00:00,
2017-04-24,Colonia object (1),0.40,11.00,28.00,0,2020-07-19 19:58:53+00:00,
2017-04-25,Colonia object (1),0.00,11.50,28.00,0,2020-07-19 19:58:53+00:00,
2017-04-26,Colonia object (1),0.00,12.00,31.50,0,2020-07-19 19:58:53+00:00,
2017-04-27,Colonia object (1),0.00,11.50,30.00,0,2020-07-19 19:58:53+00:00,
2017-04-28,Colonia object (1),0.00,11.50,31.00,0,2020-07-19 19:58:53+00:00,
2017-04-29,Colonia object (1),0.00,15.00,29.50,0,2020-07-19 19:58:53+00:00,
2017-04-30,Colonia object (1),0.00,11.50,32.50,0,2020-07-19 19:58:53+00:00,
2017-05-01,Colonia object (1),0.00,13.00,32.00,0,2020-07-19 19:58:53+00:00,
2017-05-02,Colonia object (1),0.00,13.00,30.00,0,2020-07-19 19:58:53+00:00,
2017-05-03,Colonia object (1),0.00,13.50,30.50,0,2020-07-19 19:58:53+00:00,
