Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2016-03-31,Alcaldia object (101),0.00,12.50,31.00,0,2020-07-12 08:36:57+00:00,
2016-04-01,Alcaldia object (101),0.00,12.50,31.50,0,2020-07-12 08:36:57+00:00,
2016-04-02,Alcaldia object (101),0.00,11.50,31.50,0,2020-07-12 08:36:57+00:00,
2016-04-03,Alcaldia object (101),0.00,8.50,30.50,0,2020-07-12 08:36:57+00:00,
2016-04-04,Alcaldia object (101),0.00,9.00,30.00,0,2020-07-12 08:36:57+00:00,
2016-04-05,Alcaldia object (101),0.00,11.00,30.50,0,2020-07-12 08:36:57+00:00,
2016-04-06,Alcaldia object (101),0.00,11.00,31.00,0,2020-07-12 08:36:57+00:00,
2016-04-07,Alcaldia object (101),0.00,12.00,31.00,0,2020-07-12 08:36:57+00:00,
2016-04-08,Alcaldia object (101),0.00,12.00,31.50,0,2020-07-12 08:36:57+00:00,
2016-04-09,Alcaldia object (101),1.00,11.50,31.50,0,2020-07-12 08:36:57+00:00,
2016-04-10,Alcaldia object (101),0.00,12.00,30.00,0,2020-07-12 08:36:57+00:00,
2016-04-11,Alcaldia object (101),0.00,12.00,31.50,0,2020-07-12 08:36:57+00:00,
2016-04-12,Alcaldia object (101),0.00,12.00,31.00,0,2020-07-12 08:36:57+00:00,
2016-04-13,Alcaldia object (101),0.00,13.50,31.00,0,2020-07-12 08:36:57+00:00,
2016-04-14,Alcaldia object (101),0.00,13.50,31.00,0,2020-07-12 08:36:57+00:00,
2016-04-15,Alcaldia object (101),0.00,12.00,31.00,0,2020-07-12 08:36:57+00:00,
2016-04-16,Alcaldia object (101),0.00,12.00,29.50,0,2020-07-12 08:36:57+00:00,
2016-04-17,Alcaldia object (101),0.00,13.00,30.00,0,2020-07-12 08:36:57+00:00,
2016-04-18,Alcaldia object (101),5.00,14.50,30.00,0,2020-07-12 08:36:57+00:00,
2016-04-19,Alcaldia object (101),9.60,12.00,26.00,1,2020-07-12 08:36:57+00:00,
2016-04-20,Alcaldia object (101),15.50,11.00,21.50,0,2020-07-12 08:36:57+00:00,
2016-04-21,Alcaldia object (101),2.00,10.00,19.00,1,2020-07-12 08:36:58+00:00,
2016-04-22,Alcaldia object (101),0.30,11.50,21.00,0,2020-07-12 08:36:58+00:00,
2016-04-23,Alcaldia object (101),0.00,11.00,21.00,0,2020-07-12 08:36:58+00:00,
2016-04-24,Alcaldia object (101),0.00,11.00,27.50,0,2020-07-12 08:36:58+00:00,
2016-04-25,Alcaldia object (101),0.00,10.50,26.50,0,2020-07-12 08:36:58+00:00,
2016-04-26,Alcaldia object (101),0.00,11.00,28.00,0,2020-07-12 08:36:58+00:00,
2016-04-27,Alcaldia object (101),0.00,11.00,30.50,0,2020-07-12 08:36:58+00:00,
2016-04-28,Alcaldia object (101),0.00,11.00,31.00,0,2020-07-12 08:36:58+00:00,
2016-04-29,Alcaldia object (101),0.00,12.00,32.00,0,2020-07-12 08:36:58+00:00,
2016-04-30,Alcaldia object (101),0.00,13.00,29.00,0,2020-07-12 08:36:58+00:00,
2016-05-01,Alcaldia object (101),0.00,10.50,32.00,0,2020-07-12 08:36:58+00:00,
2016-05-02,Alcaldia object (101),0.00,11.50,33.00,0,2020-07-12 08:36:58+00:00,
2016-05-03,Alcaldia object (101),0.00,12.50,31.00,0,2020-07-12 08:36:58+00:00,
2016-05-04,Alcaldia object (101),0.00,14.00,31.50,0,2020-07-12 08:36:58+00:00,
2016-05-05,Alcaldia object (101),0.00,13.50,30.00,0,2020-07-12 08:36:58+00:00,
2016-05-06,Alcaldia object (101),0.00,13.00,30.50,0,2020-07-12 08:36:58+00:00,
2016-05-07,Alcaldia object (101),0.00,12.00,32.50,0,2020-07-12 08:36:58+00:00,
2016-05-08,Alcaldia object (101),1.90,12.50,32.50,0,2020-07-12 08:36:58+00:00,
2016-05-09,Alcaldia object (101),1.40,13.50,30.50,0,2020-07-12 08:36:58+00:00,
2016-05-10,Alcaldia object (101),0.20,13.50,30.50,0,2020-07-12 08:36:58+00:00,
2016-05-11,Alcaldia object (101),3.30,14.00,30.00,0,2020-07-12 08:36:58+00:00,
2016-05-12,Alcaldia object (101),2.10,13.50,27.50,0,2020-07-12 08:36:58+00:00,
2016-05-13,Alcaldia object (101),0.00,12.50,27.50,0,2020-07-12 08:36:58+00:00,
2016-05-14,Alcaldia object (101),0.00,13.00,25.50,0,2020-07-12 08:36:58+00:00,
2016-05-15,Alcaldia object (101),3.70,12.50,25.00,0,2020-07-12 08:36:58+00:00,
2016-05-16,Alcaldia object (101),0.00,15.50,25.50,0,2020-07-12 08:36:58+00:00,
2016-05-17,Alcaldia object (101),0.00,13.00,28.50,0,2020-07-12 08:36:58+00:00,
2016-05-18,Alcaldia object (101),0.00,12.50,24.00,0,2020-07-12 08:36:58+00:00,
2016-05-19,Alcaldia object (101),0.00,13.50,29.00,0,2020-07-12 08:36:58+00:00,
2016-05-20,Alcaldia object (101),0.50,13.50,31.50,0,2020-07-12 08:36:58+00:00,
2016-05-21,Alcaldia object (101),0.00,13.50,30.50,0,2020-07-12 08:36:58+00:00,
2016-05-22,Alcaldia object (101),0.00,15.00,30.50,0,2020-07-12 08:36:58+00:00,
